,event_id,date_string,start_date,end_date,name,link
0,8196,November  8-12,2023-11-08,2023-11-12,NXL World Cup 2023,https://pbleagues.com/event/8196
1,8150,"September 15-17, 2023",2023-09-15,2023-09-17,NXL Windy City Major 2023,https://pbleagues.com/event/8150
2,8098,"June 16-18, 2023",2023-06-16,2023-06-18,NXL Mid-Atlantic Major 2023,https://pbleagues.com/event/8098
3,8016,"April 28-30, 2023",2023-04-28,2023-04-30,NXL Lone Star Major 2023,https://pbleagues.com/event/8016
4,7927,"March 10-12, 2023",2023-03-10,2023-03-12,NXL Sunshine State Major 2023,https://pbleagues.com/event/7927
5,7751,"November 10-13, 2022",2022-11-10,2022-11-13,NXL World Cup 2022,https://pbleagues.com/event/7751
6,7648,"September  9-11, 2022",2022-09-09,2022-09-11,NXL Windy City Major 2022,https://pbleagues.com/event/7648
7,7649,"August  5-7, 2022",2022-08-05,2022-08-07,NXL Golden State Open 2022,https://pbleagues.com/event/7649
8,7647,"June 17-19, 2022",2022-06-17,2022-06-19,NXL Mid-Atlantic Major 2022,https://pbleagues.com/event/7647
9,7604,"Apr 29 - May  1, 2022",2022-05-01,2022-05-01,NXL Lone Star Open,https://pbleagues.com/event/7604
10,7537,"March 11-13, 2022",2022-03-11,2022-03-13,NXL Sunshine State Major,https://pbleagues.com/event/7537
11,7349,"November 11-14, 2021",2021-11-11,2021-11-14,NXL World Cup 2021,https://pbleagues.com/event/7349
12,7286,"September 17-19, 2021",2021-09-17,2021-09-19,NXL Windy City Major,https://pbleagues.com/event/7286
13,7297,"August 13-15, 2021",2021-08-13,2021-08-15,NXL Golden State Open,https://pbleagues.com/event/7297
14,7250,"June 25-27, 2021",2021-06-25,2021-06-27,NXL Mid Atlantic Major,https://pbleagues.com/event/7250
15,7170,"Apr 30 - May  2, 2021",2021-05-02,2021-05-02,NXL Sunshine State Major,https://pbleagues.com/event/7170
16,7109,"March 19-21, 2021",2021-03-19,2021-03-21,NXL Lone Star Am Open,https://pbleagues.com/event/7109
17,6990,"November 12-15, 2020",2020-11-12,2020-11-15,NXL World Cup 2020,https://pbleagues.com/event/6990
18,6726,"March  5-8, 2020",2020-03-05,2020-03-08,NXL Las Vegas Open 2020,https://pbleagues.com/event/6726
19,6251,"November  7-10, 2019",2019-11-07,2019-11-10,NXL World Cup 2019,https://pbleagues.com/event/6251
20,6250,"September 13-15, 2019",2019-09-13,2019-09-15,NXL Chicago Open 2019,https://pbleagues.com/event/6250
21,6249,"June 21-23, 2019",2019-06-21,2019-06-23,NXL Philadelphia Open 2019,https://pbleagues.com/event/6249
22,6248,"May  3-5, 2019",2019-05-03,2019-05-05,NXL Texas Open 2019,https://pbleagues.com/event/6248
23,6273,"March  8-10, 2019",2019-03-08,2019-03-10,NXL Las Vegas Open 2019,https://pbleagues.com/event/6273
24,5978,"November  8-11, 2018",2018-11-08,2018-11-11,NXL World Cup 2018,https://pbleagues.com/event/5978
25,5976,"September 14-16, 2018",2018-09-14,2018-09-16,NXL Chicago Open 2018,https://pbleagues.com/event/5976
26,5969,"June 22-24, 2018",2018-06-22,2018-06-24,NXL Atlantic City Open 2018,https://pbleagues.com/event/5969
27,5902,"May  4-6, 2018",2018-05-04,2018-05-06,NXL Texas Open 2018,https://pbleagues.com/event/5902
28,5760,"March  9-11, 2018",2018-03-09,2018-03-11,NXL Las Vegas Open 2018,https://pbleagues.com/event/5760
29,5585,"November  2-5, 2017",2017-11-02,2017-11-05,NXL World Cup 2017,https://pbleagues.com/event/5585
30,5524,"September  8-10, 2017",2017-09-08,2017-09-10,NXL Chicago Open,https://pbleagues.com/event/5524
31,5522,"June 23-25, 2017",2017-06-23,2017-06-25,NXL Atlantic City Open,https://pbleagues.com/event/5522
32,5460,"May  5-7, 2017",2017-05-05,2017-05-07,NXL Texas Open 2017,https://pbleagues.com/event/5460
33,5174,"March 17-19, 2017",2017-03-17,2017-03-19,NXL Las Vegas Open 2017,https://pbleagues.com/event/5174
34,4981,"February 11-12, 2017",2017-02-11,2017-02-12,NXL Winter Classic,https://pbleagues.com/event/4981
35,4885,"November  3-6, 2016",2016-11-03,2016-11-06,NXL World Cup,https://pbleagues.com/event/4885
36,4844,"August 12-14, 2016",2016-08-12,2016-08-14,NXL Great Lakes Open,https://pbleagues.com/event/4844
37,4770,"June 24-26, 2016",2016-06-24,2016-06-26,NXL Nashville Open,https://pbleagues.com/event/4770
38,4661,"Apr 29 - May  1, 2016",2016-05-01,2016-05-01,NXL Texas Open,https://pbleagues.com/event/4661
39,4564,"March 18-20, 2016",2016-03-18,2016-03-20,NXL Las Vegas Open,https://pbleagues.com/event/4564
40,4310,"October 15-18, 2015",2015-10-15,2015-10-18,NXL World Cup,https://pbleagues.com/event/4310
41,4238,"August  7-9, 2015",2015-08-07,2015-08-09,NXL Virginia Beach Open,https://pbleagues.com/event/4238
42,4145,"June  5-7, 2015",2015-06-05,2015-06-07,Great Lakes Open,https://pbleagues.com/event/4145
